#separator:tab
#html:true
#notetype:Basic
#deck:DVC::Introduction to Data Versioning with DVC
#tags column:3
#columns:Front	Back	Tags
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Why is data versioning necessary in ML?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Because a model result depends on data, code, and hyperparameters. Versioning only code cannot reliably reproduce or audit an ML experiment</div>	domain::dvc course::introduction_to_data_versioning_with_dvc section::ch1_data_versioning_motivation
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">What three components together determine an ML model's result?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Code (algorithms and architecture), data (training inputs), and hyperparameters (pre-training configuration settings)</div>	domain::dvc course::introduction_to_data_versioning_with_dvc section::ch1_data_versioning_motivation
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Why can two models trained on subsets of the same dataset produce different metrics?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Because random partitioning creates different sample distributions; if a real distribution shift occurs, the metric difference can be significant</div>	domain::dvc course::introduction_to_data_versioning_with_dvc section::ch1_data_versioning_motivation
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">What is the key practical difference between code versioning and data versioning tools?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Git is sufficient for code because codebases are small and text-based; data versioning requires additional software alongside Git to handle large, binary, and frequently changing datasets</div>	domain::dvc course::introduction_to_data_versioning_with_dvc section::ch1_data_versioning_motivation
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">When did the first practical implementations of data versioning appear?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Around 2012</div>	domain::dvc course::introduction_to_data_versioning_with_dvc section::ch1_data_versioning_motivation
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">What is the relationship between Git and DVC?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Git versions code and lightweight DVC metadata such as .dvc files, dvc.yaml, and dvc.lock; DVC manages the actual large data and model artifacts via its cache and remote storage</div>	domain::dvc course::introduction_to_data_versioning_with_dvc section::ch1_git_and_dvc_fundamentals
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">After `dvc add data.csv`, what does Git track and what does DVC manage?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Git tracks data.csv.dvc (pointer) and .gitignore; DVC caches the actual bytes of data.csv and can upload them to a DVC remote</div>	domain::dvc course::introduction_to_data_versioning_with_dvc section::ch1_git_and_dvc_fundamentals
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">What is the correct sharing workflow after tracking a new dataset with DVC?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Run `dvc add data.csv`, `git add data.csv.dvc .gitignore`, `git commit`, `dvc push`, and `git push`. Both dvc push and git push are required</div>	domain::dvc course::introduction_to_data_versioning_with_dvc section::ch1_git_and_dvc_fundamentals
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">What happens after `git clone` of a DVC project?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">You get code, .dvc config, .dvc pointer files, dvc.yaml, and dvc.lock — but not the actual DVC-tracked data or model artifacts</div>	domain::dvc course::introduction_to_data_versioning_with_dvc section::ch1_git_and_dvc_fundamentals
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">How does a teammate restore DVC-tracked data after `git clone`?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Run `dvc pull`. It downloads artifacts from the DVC remote into the local cache and links or copies them into the workspace</div>	domain::dvc course::introduction_to_data_versioning_with_dvc section::ch1_git_and_dvc_fundamentals
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">What is the difference between `git push` and `dvc push`?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">`git push` uploads code and DVC metadata (pointers) to a Git remote; `dvc push` uploads actual cached data and model artifacts to DVC remote storage</div>	domain::dvc course::introduction_to_data_versioning_with_dvc section::ch1_git_and_dvc_fundamentals
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">What does `dvc add` do?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">It hashes and caches the current version of a standalone data file or directory, creates or updates its .dvc pointer file, and adds the tracked path to .gitignore</div>	domain::dvc course::introduction_to_data_versioning_with_dvc section::ch1_git_and_dvc_fundamentals
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">What is a `.dvc` file such as `data.csv.dvc`?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Git-trackable metadata identifying a DVC-tracked artifact by its content hash; it is not the actual dataset, only a pointer to it</div>	domain::dvc course::introduction_to_data_versioning_with_dvc section::ch1_git_and_dvc_fundamentals
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">What is `dvc.yaml`?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">It declares a DVC pipeline: named stages, commands, dependencies (deps), outputs (outs), and optionally params, metrics, and plots</div>	domain::dvc course::introduction_to_data_versioning_with_dvc section::ch1_git_and_dvc_fundamentals
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">What is `dvc.lock`?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">It records the exact content hashes of pipeline dependencies and outputs from the last reproduction, enabling DVC to detect stale stages</div>	domain::dvc course::introduction_to_data_versioning_with_dvc section::ch1_git_and_dvc_fundamentals
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Does `dvc.lock` make files read-only?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">No. dvc.lock records pipeline state and detects staleness via hash comparison; read-only protection can arise separately from cache link types such as hardlinks or symlinks</div>	domain::dvc course::introduction_to_data_versioning_with_dvc section::ch1_git_and_dvc_fundamentals
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">What makes a DVC pipeline stage stale?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Any declared dependency changing so that its current hash differs from the hash recorded in dvc.lock</div>	domain::dvc course::introduction_to_data_versioning_with_dvc section::ch1_git_and_dvc_fundamentals
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">If `train.py` changes but training data does not, what does `dvc repro` run?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">It reruns the train stage (changed dependency) then reruns downstream stages that depend on the changed output; unaffected upstream stages are skipped</div>	domain::dvc course::introduction_to_data_versioning_with_dvc section::ch1_git_and_dvc_fundamentals
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">What is the difference between `dvc add` and `dvc repro`?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">`dvc add` tracks a standalone data file or directory; `dvc repro` checks the DAG and runs only stale pipeline stages in dependency order</div>	domain::dvc course::introduction_to_data_versioning_with_dvc section::ch1_git_and_dvc_fundamentals
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">What is the normal workflow for modifying data tracked with `dvc add`?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Optionally run `dvc unprotect` to safely unlink from cache, make edits, run `dvc add` again, commit the updated .dvc pointer with Git, then `dvc push` and `git push`</div>	domain::dvc course::introduction_to_data_versioning_with_dvc section::ch1_git_and_dvc_fundamentals
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Why should `dvc commit` not be your default command for changed standalone data?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">For `dvc add`-tracked data, rerunning `dvc add` is the correct default; for pipelines, `dvc repro` validates dependencies and executes the declared workflow — both are safer</div>	domain::dvc course::introduction_to_data_versioning_with_dvc section::ch1_git_and_dvc_fundamentals
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">Which two commands together show the full project state?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">`git status` shows code and DVC metadata changes; `dvc data status` shows DVC-tracked data changes and cache state</div>	domain::dvc course::introduction_to_data_versioning_with_dvc section::ch1_git_and_dvc_fundamentals
