#separator:tab
#html:true
#notetype:Basic
#deck:Deep Learning FA::Neural Networks and Deep Learning
#tags column:3
#columns:Front	Back	Tags
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">ReLU مخفف چیه و فرمولش چیه؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">Rectified Linear Unit — max(0, z). اگه ورودی منفی باشه صفر، وگرنه خودش.</div>	domain::deep_learning course::neural_networks_and_deep_learning section::w1_شبکه_عصبی_چیست؟
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">چرا بدون non-linearity، stack کردن چند لایه بی‌فایده‌ست؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">چون W2(W1x) = (W2W1)x = W3x — ضرب ماتریس‌ها ادغام میشن و کل شبکه معادل یه لایه‌ی خطی میشه. خطی فقط hyperplane می‌کشه، نه توابع پیچیده.</div>	domain::deep_learning course::neural_networks_and_deep_learning section::w1_شبکه_عصبی_چیست؟
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">یه hidden layer با n نورون که به m ورودی densely connected باشه، چند وزن داره؟ (بدون bias)</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">m × n</div>	domain::deep_learning course::neural_networks_and_deep_learning section::w1_شبکه_عصبی_چیست؟
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">Dense (fully connected) layer یعنی چی؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">هر نورون لایه‌ی قبل به تمام نورون‌های لایه‌ی بعد وصله — شبکه آزاده هر ترکیبی از ورودی‌ها رو یاد بگیره.</div>	domain::deep_learning course::neural_networks_and_deep_learning section::w1_شبکه_عصبی_چیست؟
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">چرا hidden layer به این اسم خوانده میشه؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">چون مقادیرش در training data برچسب مستقیم ندارن — برعکس input و output که مشخص هستن.</div>	domain::deep_learning course::neural_networks_and_deep_learning section::w1_شبکه_عصبی_چیست؟
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">کدوم معماری برای کدوم داده؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">Standard NN → جدول/داده ساختاریافته | CNN → الگوهای فضایی (تصویر، سیگنال) | RNN/LSTM → دنباله‌ای/زمانی (صدا، سری زمانی، متن) | Hybrid → ترکیبی پیچیده (خودران)</div>	domain::deep_learning course::neural_networks_and_deep_learning section::w1_یادگیری_نظارت_شده_با_شبکه_های_عصبی
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">چهار learning paradigm اصلی کدومن؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">Supervised (برچسب‌دار), Unsupervised (بدون برچسب), Semi-supervised (کمی برچسب + خیلی بدون برچسب), Reinforcement (سیگنال پاداش)</div>	domain::deep_learning course::neural_networks_and_deep_learning section::w1_یادگیری_نظارت_شده_با_شبکه_های_عصبی
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">تفاوت Learning Paradigm با Task Type چیه؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">Paradigm = نوع داده‌ی آموزشی (supervised/unsupervised/...) | Task = نوع خروجی (classification/regression/clustering/...). رگرسیون یه task هست که درون supervised قرار می‌گیره، نه یه paradigm.</div>	domain::deep_learning course::neural_networks_and_deep_learning section::w1_یادگیری_نظارت_شده_با_شبکه_های_عصبی
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">چرا RNN برای time-series سنسور صنعتی بهتر از Standard NN هست؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">چون وابستگی زمانی دارن — قدم t به قدم t-1 مرتبطه (Markov chain). Standard NN هر ورودی رو مستقل می‌بینه.</div>	domain::deep_learning course::neural_networks_and_deep_learning section::w1_یادگیری_نظارت_شده_با_شبکه_های_عصبی
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">Structured vs Unstructured data فرق اصلیشون چیه؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">Structured = هر feature معنی مشخص داره (جدول، سنسور با timestamp) | Unstructured = معنی از الگوهای خام استخراج میشه (تصویر، صدا، متن آزاد)</div>	domain::deep_learning course::neural_networks_and_deep_learning section::w1_یادگیری_نظارت_شده_با_شبکه_های_عصبی
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">سه عامل اصلی رشد Deep Learning چیست؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">1) داده‌ی بیشتر و برچسب‌دار، 2) محاسبات سریع‌تر و سخت‌افزارهایی مانند GPU، 3) نوآوری الگوریتمی و معماری.</div>	domain::deep_learning course::neural_networks_and_deep_learning section::w1_چرا_deep_learning_رشد_کرده؟
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">m در notation این دوره چه معنایی دارد؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">تعداد training examples؛ در supervised learning معمولاً تعداد نمونه‌های labeled که هم x و هم y دارند.</div>	domain::deep_learning course::neural_networks_and_deep_learning section::w1_چرا_deep_learning_رشد_کرده؟
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">چرا Sigmoid در شبکه‌های عمیق می‌تواند باعث vanishing gradient شود؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">در نواحی اشباع، مشتق Sigmoid نزدیک صفر می‌شود؛ در backpropagation ضرب پی‌درپی این گرادیان‌های کوچک، گرادیان لایه‌های ابتدایی را تقریباً صفر می‌کند.</div>	domain::deep_learning course::neural_networks_and_deep_learning section::w1_چرا_deep_learning_رشد_کرده؟
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">مشتق ReLU در چه ناحیه‌هایی صفر و یک است؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">برای z &lt; 0 برابر 0 و برای z &gt; 0 برابر 1 است؛ در z = 0 مشتق معمولاً در پیاده‌سازی با یک convention تعیین می‌شود.</div>	domain::deep_learning course::neural_networks_and_deep_learning section::w1_چرا_deep_learning_رشد_کرده؟
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">چرا سرعت محاسبات برای موفقیت Deep Learning مهم است؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">چرخه‌ی idea → code → experiment → result → iteration را کوتاه می‌کند، بنابراین می‌توان experiment و iteration بیشتری انجام داد و سریع‌تر به مدل مؤثر رسید.</div>	domain::deep_learning course::neural_networks_and_deep_learning section::w1_چرا_deep_learning_رشد_کرده؟
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">چرا در پیاده‌سازی شبکه‌های عصبی از حلقه‌های for صریح روی کل مجموعه آموزشی استفاده نمی‌کنیم؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">چون عملیات ماتریسی و برداری (vectorized) بسیار بهینه‌تر، تمیزتر و برای محاسبات سنگین شبکه عصبی سریع‌تر هستند.</div>	domain::deep_learning course::neural_networks_and_deep_learning section::w2_مبانی_برنامه_نویسی_شبکه_عصبی
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">یک تصویر RGB با ابعاد 64x64 چگونه به یک بردار ویژگی (feature vector) تبدیل می‌شود؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">با باز کردن (unrolling) تمام مقادیر پیکسلی هر سه کانال رنگی در یک بردار بلند به طول 12288 = 3 * 64 * 64.</div>	domain::deep_learning course::neural_networks_and_deep_learning section::w2_مبانی_برنامه_نویسی_شبکه_عصبی
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">در نمادگذاری این دوره، ماتریس X نشان‌دهنده چیست و چه ابعادی دارد؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">ماتریس ورودی‌ها که از چیدن ستونی نمونه‌های آموزشی ساخته شده و ابعاد آن (n_x, m) است.</div>	domain::deep_learning course::neural_networks_and_deep_learning section::w2_مبانی_برنامه_نویسی_شبکه_عصبی
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">در نمادگذاری این دوره، ماتریس Y نشان‌دهنده چیست و چه ابعادی دارد؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">ماتریس برچسب‌ها (labels) که از چیدن ستونی خروجی‌ها ساخته شده و ابعاد آن (1, m) است.</div>	domain::deep_learning course::neural_networks_and_deep_learning section::w2_مبانی_برنامه_نویسی_شبکه_عصبی
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">مقدار y-hat در رگرسیون لجستیک نشان‌دهنده چیست؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">P(y=1|x) — احتمال اینکه با توجه به ویژگی‌های ورودی x، برچسب واقعی y برابر 1 باشد.</div>	domain::deep_learning course::neural_networks_and_deep_learning section::w2_مبانی_برنامه_نویسی_شبکه_عصبی
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">چرا در رگرسیون لجستیک به تابع فعال‌ساز Sigmoid نیاز داریم؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">چون تابع Sigmoid هر عدد حقیقی را به بازه (0,1) می‌برد و خروجی را به یک احتمال معتبر تبدیل می‌کند.</div>	domain::deep_learning course::neural_networks_and_deep_learning section::w2_مبانی_برنامه_نویسی_شبکه_عصبی
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">چرا یک خروجی خطی به فرم w^T x + b برای طبقه‌بندی دودویی مناسب نیست؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">چون مقادیر خروجی خطی می‌تواند منفی یا بزرگ‌تر از 1 شود که به عنوان احتمال قابل تفسیر نیست.</div>	domain::deep_learning course::neural_networks_and_deep_learning section::w2_مبانی_برنامه_نویسی_شبکه_عصبی
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">تعبیر احتمالی اصلی رگرسیون لجستیک چیست؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">مدل سعی می‌کند احتمال شرطی P(y=1|x) را تخمین بزند، یعنی شانس اینکه ورودی x متعلق به کلاس مثبت باشد.</div>	domain::deep_learning course::neural_networks_and_deep_learning section::w2_مبانی_برنامه_نویسی_شبکه_عصبی
