#separator:tab
#html:true
#notetype:Basic
#deck:SQL فارسی::SQL Fundamentals
#tags column:3
#columns:Front	Back	Tags
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">ترتیب منطقی اجرای یک query چیست؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">FROM → JOIN → WHERE → GROUP BY → HAVING → SELECT → DISTINCT → ORDER BY → LIMIT. SELECT آخرین مرحله اجرا می‌شود!</div>	domain::sql course::sql_fundamentals section::ch_1_ترتیب_اجرای_sql
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">چرا نمی‌توانی از alias تعریف‌شده در SELECT در WHERE استفاده کرد؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">چون WHERE قبل از SELECT ارزیابی می‌شود. آن alias هنوز وجود ندارد. باید عبارت را تکرار کنی یا از subquery/CTE استفاده کنی.</div>	domain::sql course::sql_fundamentals section::ch_1_ترتیب_اجرای_sql
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">تفاوت INNER JOIN، LEFT JOIN و FULL JOIN چیست؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">INNER = فقط سطرهای مطابق | LEFT = تمام سطرهای چپ دست + مطابق‌ها | FULL = تمام سطرهای هر دو جدول. سطرهای بی‌مطابق NULL می‌گیرند.</div>	domain::sql course::sql_fundamentals section::ch_1_انواع_join
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">CROSS JOIN چیست و چه وقت استفاده می‌شود؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">Cartesian product — هر سطر A با هر سطر B جفت می‌شود. مثال: 10 مشتری × 3 محصول = 30 سطر. برای تولید تمام ترکیب‌ها مانند برنامه‌ریزی.</div>	domain::sql course::sql_fundamentals section::ch_1_انواع_join
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">SELF JOIN چیست؟ یک مثال بزن.</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">جوین کردن جدول با خودش. مثال: پیدا کردن کارمند و مدیرش: SELECT e.name, m.name FROM employees e LEFT JOIN employees m ON e.manager_id = m.id.</div>	domain::sql course::sql_fundamentals section::ch_1_انواع_join
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">Nested Loop Join چه وقت بهترین گزینه است؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">وقتی ورودی خارجی کوچک باشد و index روی جدول داخلی وجود داشته باشد. هر سطر خارجی از طریق index جستجو می‌شود. هزینه: O(N × log M).</div>	domain::sql course::sql_fundamentals section::ch_1_الگوریتم_های_join
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">Hash Join چطور کار می‌کند؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">1) از جدول کوچکتر یک hash table روی کلید join می‌سازد، 2) هر سطر جدول بزرگتر را probe می‌کند. هزینه: O(N + M). بهترین گزینه برای دو جدول بزرگ بدون index کارآمد.</div>	domain::sql course::sql_fundamentals section::ch_1_الگوریتم_های_join
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">Merge Join چه وقت استفاده می‌شود؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">وقتی هر دو ورودی قبلاً مرتب باشند (مثلاً از index). هر دو جریان موازی پیمایش داده می‌شوند. هزینه: O(N + M) در صورت مرتب بودن.</div>	domain::sql course::sql_fundamentals section::ch_1_الگوریتم_های_join
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">Correlated Subquery چیست؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">یک subquery که به query خارجی ارجاع دارد — به ازای هر سطر یک بار اجرا می‌شود. معمولاً کند مگر اینکه index روی ستون فیلتر وجود داشته باشد.</div>	domain::sql course::sql_fundamentals section::ch_1_correlated_subquery_در_مقابل_join
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">تفاوت EXISTS و IN چیست؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">EXISTS با اولین مطابقت short-circuit می‌کند و NULL-safe است — برای NOT EXISTS حیاتی است. IN نتیجه subquery را مادی‌سازی می‌کند؛ با NULL در لیست، NOT IN هیچ سطری برنمی‌گرداند. برای ستون‌های nullable از NOT EXISTS استفاده کن.</div>	domain::sql course::sql_fundamentals section::ch_1_correlated_subquery_در_مقابل_join
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">چرا `NOT IN (1, 2, NULL)` هیچ‌وقت چیزی برنمی‌گرداند؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">معادل x!=1 AND x!=2 AND x!=NULL است. x!=NULL همیشه UNKNOWN است، پس AND کلی UNKNOWN می‌شود و سطر فیلتر می‌خورد. به جایش NOT EXISTS استفاده کن.</div>	domain::sql course::sql_fundamentals section::ch_1_correlated_subquery_در_مقابل_join
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">`NULL = NULL` چه مقداری برمی‌گرداند؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">UNKNOWN (نه TRUE نه FALSE). پس `WHERE col = NULL` هیچ سطری برنمی‌گرداند. باید از `WHERE col IS NULL` استفاده کنی.</div>	domain::sql course::sql_fundamentals section::ch_1_سمانتیک_null
