#separator:tab
#html:true
#notetype:Basic
#deck:Deep Learning::Neural Networks and Deep Learning
#tags column:3
#columns:Front	Back	Tags
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">ReLU مخفف چیه و فرمولش چیه؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">Rectified Linear Unit — max(0, z). اگه ورودی منفی باشه صفر، وگرنه خودش.</div>	domain::deep_learning course::neural_networks_and_deep_learning section::w1_what_is_a_neural_network
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">چرا بدون non-linearity، stack کردن چند لایه بی‌فایده‌ست؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">چون W2(W1x) = (W2W1)x = W3x — ضرب ماتریس‌ها ادغام میشن و کل شبکه معادل یه لایه‌ی خطی میشه. خطی فقط hyperplane می‌کشه، نه توابع پیچیده.</div>	domain::deep_learning course::neural_networks_and_deep_learning section::w1_what_is_a_neural_network
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">یه hidden layer با n نورون که به m ورودی densely connected باشه، چند وزن داره؟ (بدون bias)</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">m × n</div>	domain::deep_learning course::neural_networks_and_deep_learning section::w1_what_is_a_neural_network
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">Dense (fully connected) layer یعنی چی؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">هر نورون لایه‌ی قبل به تمام نورون‌های لایه‌ی بعد وصله — شبکه آزاده هر ترکیبی از ورودی‌ها رو یاد بگیره.</div>	domain::deep_learning course::neural_networks_and_deep_learning section::w1_what_is_a_neural_network
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">چرا hidden layer به این اسم خوانده میشه؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">چون مقادیرش در training data برچسب مستقیم ندارن — برعکس input و output که مشخص هستن.</div>	domain::deep_learning course::neural_networks_and_deep_learning section::w1_what_is_a_neural_network
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">کدوم معماری برای کدوم داده؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">Standard NN → tabular/structured | CNN → spatial patterns (image, signal) | RNN/LSTM → sequential/temporal (audio, time-series, text) | Hybrid → complex mixed (autonomous driving)</div>	domain::deep_learning course::neural_networks_and_deep_learning section::w1_supervised_learning_with_neural_networks
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">چهار learning paradigm اصلی کدومن؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">Supervised (labeled), Unsupervised (no label), Semi-supervised (few labeled + many unlabeled), Reinforcement (reward signal)</div>	domain::deep_learning course::neural_networks_and_deep_learning section::w1_supervised_learning_with_neural_networks
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">تفاوت Learning Paradigm با Task Type چیه؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">Paradigm = نوع داده‌ی آموزشی (supervised/unsupervised/...) | Task = نوع خروجی (classification/regression/clustering/...). رگرسیون یه task هست که درون supervised قرار می‌گیره، نه یه paradigm.</div>	domain::deep_learning course::neural_networks_and_deep_learning section::w1_supervised_learning_with_neural_networks
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">چرا RNN برای time-series سنسور صنعتی بهتر از Standard NN هست؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">چون وابستگی زمانی دارن — قدم t به قدم t-1 مرتبطه (Markov chain). Standard NN هر ورودی رو مستقل می‌بینه.</div>	domain::deep_learning course::neural_networks_and_deep_learning section::w1_supervised_learning_with_neural_networks
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">Structured vs Unstructured data فرق اصلیشون چیه؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">Structured = هر feature معنی مشخص داره (جدول، سنسور با timestamp) | Unstructured = معنی از الگوهای خام استخراج میشه (تصویر، صدا، متن آزاد)</div>	domain::deep_learning course::neural_networks_and_deep_learning section::w1_supervised_learning_with_neural_networks
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">[Deep Learning][Neural Networks and Deep Learning][W1-04-Why-is-Deep-Learning-taking-off] سه عامل اصلی رشد Deep Learning چیست؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">1) داده‌ی بیشتر و برچسب‌دار، 2) محاسبات سریع‌تر و سخت‌افزارهایی مانند GPU، 3) نوآوری الگوریتمی و معماری.</div>	domain::deep_learning course::neural_networks_and_deep_learning section::w1_why_is_deep_learning_taking_off_w1_04
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">[Deep Learning][Neural Networks and Deep Learning][W1-04-Why-is-Deep-Learning-taking-off] m در notation این دوره چه معنایی دارد؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">تعداد training examples؛ در supervised learning معمولاً تعداد نمونه‌های labeled که هم x و هم y دارند.</div>	domain::deep_learning course::neural_networks_and_deep_learning section::w1_why_is_deep_learning_taking_off_w1_04
