#separator:tab
#html:true
#notetype:Basic
#deck:DVC فارسی::Introduction to Data Versioning with DVC
#tags column:3
#columns:Front	Back	Tags
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">چرا data versioning در ML ضروری است؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">چون نتیجه‌ی مدل به code، data و hyperparameterها وابسته است. version کردن فقط code نمی‌تواند یک experiment ML را به‌درستی بازتولید یا ممیزی کند</div>	domain::dvc course::introduction_to_data_versioning_with_dvc section::فصل_۱_انگیزه_ی_data_versioning
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">چه سه مؤلفه‌ای با هم نتیجه‌ی مدل ML را تعیین می‌کنند؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">code (الگوریتم و معماری)، data (ورودی‌های آموزشی) و hyperparameterها (تنظیمات پیش از training)</div>	domain::dvc course::introduction_to_data_versioning_with_dvc section::فصل_۱_انگیزه_ی_data_versioning
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">چرا دو مدل که روی زیرمجموعه‌های مختلف یک dataset آموزش دیده‌اند ممکن است metric متفاوتی داشته باشند؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">چون تقسیم تصادفی توزیع‌های sample متفاوتی می‌سازد؛ اگر distribution shift واقعی اتفاق بیفتد تفاوت metric می‌تواند بسیار بزرگ باشد</div>	domain::dvc course::introduction_to_data_versioning_with_dvc section::فصل_۱_انگیزه_ی_data_versioning
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">تفاوت عملی اصلی بین ابزارهای code versioning و data versioning چیست؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">Git برای code کافی است چون codebaseها کوچک و text-based هستند؛ data versioning به نرم‌افزار مکمل کنار Git نیاز دارد تا dataset های بزرگ، باینری و پرتغییر را مدیریت کند</div>	domain::dvc course::introduction_to_data_versioning_with_dvc section::فصل_۱_انگیزه_ی_data_versioning
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">اولین پیاده‌سازی‌های عملی data versioning چه زمانی ظاهر شدند؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">حدود سال ۲۰۱۲</div>	domain::dvc course::introduction_to_data_versioning_with_dvc section::فصل_۱_انگیزه_ی_data_versioning
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">رابطه‌ی Git و DVC چیست؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">Git کد و DVC metadata سبک‌وزن مثل .dvc files، dvc.yaml و dvc.lock را version می‌کند؛ DVC artifactهای واقعی بزرگ (data و model) را از طریق cache و remote storage مدیریت می‌کند</div>	domain::dvc course::introduction_to_data_versioning_with_dvc section::فصل_۱_مبانی_git_و_dvc
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">بعد از `dvc add data.csv` چه چیزی در Git و چه چیزی در DVC مدیریت می‌شود؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">Git فایل data.csv.dvc (pointer) و .gitignore را track می‌کند؛ DVC bytes واقعی data.csv را cache می‌کند و می‌تواند آن را به DVC remote بفرستد</div>	domain::dvc course::introduction_to_data_versioning_with_dvc section::فصل_۱_مبانی_git_و_dvc
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">workflow صحیح اشتراک‌گذاری بعد از track کردن یک dataset جدید با DVC چیست؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">اجرای `dvc add data.csv`، `git add data.csv.dvc .gitignore`، `git commit`، `dvc push` و `git push`. هر دوی dvc push و git push لازم هستند</div>	domain::dvc course::introduction_to_data_versioning_with_dvc section::فصل_۱_مبانی_git_و_dvc
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">بعد از `git clone` یک پروژه‌ی DVC چه اتفاقی می‌افتد؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">code، DVC config، .dvc pointer files، dvc.yaml و dvc.lock دریافت می‌شوند — اما data یا model artifactهای واقعی DVC-tracked دریافت نمی‌شوند</div>	domain::dvc course::introduction_to_data_versioning_with_dvc section::فصل_۱_مبانی_git_و_dvc
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">یک همتیمی چطور بعد از `git clone` data های DVC-tracked را بازیابی می‌کند؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">با اجرای `dvc pull`. این دستور artifactها را از DVC remote به local cache دانلود می‌کند و آن‌ها را در workspace قابل استفاده می‌کند</div>	domain::dvc course::introduction_to_data_versioning_with_dvc section::فصل_۱_مبانی_git_و_dvc
