#separator:tab
#html:true
#notetype:Basic
#deck:AI Agents فارسی::Self-Improving AI Agents
#tags column:3
#columns:Front	Back	Tags
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">درس CS329A درباره چیست؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">ایجنت‌های هوش مصنوعی خودبهبود — ایجنت‌هایی که برنامه‌ریزی می‌کنند، عمل می‌کنند، بازخورد می‌گیرند و خودشان را بهبود می‌دهند. مسیر تبدیل LLM به ایجنت‌هایی که کارها را سرتاسری انجام می‌دهند را پوشش می‌دهد.</div>	domain::ai_agents course::cs329a section::w1_course_overview
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">کد و URL رسمی این درس چیست؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">CS329A — Self-Improving AI Agents. URL رسمی: https://cs329a.stanford.edu/. (در پیش‌نویس‌های قبلی از «CS239A» و cs239a.stanford.edu استفاده شده بود که شناسه رسمی نیست.)</div>	domain::ai_agents course::cs329a section::w1_course_overview
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">آکانکشا چودهری کیست؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">استاد کمکی (Adjunct Professor) در دانشگاه استنفورد و مدرس هم‌درس CS329A. پیش‌تر رهبر فنی مدل PaLM 540B و محقق اصلی پیش‌آموزش، مقیاس‌بندی و fine-tuning مدل Gemini در Google بود. منبع: https://www.achowdhery.com/.</div>	domain::ai_agents course::cs329a section::w1_course_overview
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">آزالیا میرحسینی کیست؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">استادیار دپارتمان علوم کامپیوتر دانشگاه استنفورد و مدیر آزمایشگاه Scaling Intelligence؛ مدرس هم‌درس CS329A. هم‌بنیان‌گذار Ricursive Intelligence. پیشینه کاری در Google Brain، Anthropic (Claude) و Google DeepMind (Gemini)؛ پیشگام پروژه AlphaChip و مقاله Large Language Monkeys. منبع: http://azaliamirhoseini.com/.</div>	domain::ai_agents course::cs329a section::w1_course_overview
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">سه محور مقیاس‌پذیری LLM کدامند؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">توان محاسباتی، اندازه دیتاست و تعداد پارامترها. افزایش هر کدام loss تست را کم می‌کند و مدل بهتری می‌دهد.</div>	domain::ai_agents course::cs329a section::w1_scaling_laws
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">تعداد پارامتر BERT، GPT-2، GPT-3 و PaLM چقدر بود؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">BERT ≈ ۳۴۰ میلیون (Devlin و همکاران، ۲۰۱۹)؛ GPT-2 ≈ ۱.۵ میلیارد (Radford و همکاران، ۲۰۱۹)؛ GPT-3 ≈ ۱۷۵ میلیارد (Brown و همکاران، ۲۰۲۰)؛ PaLM ≈ ۵۴۰ میلیارد (Chowdhery و همکاران، ۲۰۲۲). همه از مقالات اصلی همان مدل‌ها.</div>	domain::ai_agents course::cs329a section::w1_scaling_laws
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">وضعیت تعداد پارامترهای GPT-4 چیست؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">رسماً اعلام نشده. عدد «تریلیون‌ها» یک تخمین غیررسمی (مثلاً SemiAnalysis، ۲۰۲۳) است؛ عدد رسمی OpenAI نیست.</div>	domain::ai_agents course::cs329a section::w1_scaling_laws
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">یک نکته احتیاطی درباره ادعای «اشباع مقیاس‌بندی حول ۲۰۲۳–۲۰۲۴» چیست؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">اشباع به متریک بستگی دارد. loss تست بعد از ۲۰۲۳ همچنان بهتر شد، اما بهره‌وری در بنچمارک‌ها و اقتصاد هر توکن تخت شد. هیچ منبع واحدی سال برش جهانی تعریف نمی‌کند.</div>	domain::ai_agents course::cs329a section::w1_scaling_laws
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">مزیت اول مدل‌های بزرگ‌تر چیست؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">عملکرد بهتر در بنچمارک‌های زبان طبیعی، استدلال و سایر بنچمارک‌ها.</div>	domain::ai_agents course::cs329a section::w1_scaling_laws
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">مزیت دوم مدل‌های بزرگ‌تر چیست؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">یادگیری چندنمونه — چند مثال برای تطبیق بدون fine-tune دامنه‌ای کافی است.</div>	domain::ai_agents course::cs329a section::w1_scaling_laws
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">مزیت سوم مدل‌های بزرگ‌تر چیست؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">رفتارهای نوظهور — قابلیت‌هایی مثل استدلال فقط در اندازه‌های بزرگ ظاهر می‌شوند (بحث درباره واقعی بودن گسست در مقابل artefact متریک همچنان ادامه دارد).</div>	domain::ai_agents course::cs329a section::w1_scaling_laws
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">تفاوت یادگیری صفرنمونه (zero-shot) و چندنمونه (few-shot) چیست؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">صفرنمونه فقط توصیف وظیفه می‌گیرد. چندنمونه توصیف وظیفه + چند مثال ورودی←خروجی که مدل به عنوان الگو دنبال می‌کند.</div>	domain::ai_agents course::cs329a section::w1_zero_shot_few_shot
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">چرا یادگیری چندنمونه مفید است؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">با چند مثال مدل بدون fine-tune دامنه‌ای تطبیق پیدا می‌کند و prototyping خیلی آسان می‌شود.</div>	domain::ai_agents course::cs329a section::w1_zero_shot_few_shot
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">زنجیره تفکر (Chain of Thought) چیست؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">دادن نه فقط جواب مثال، بلکه استدلال گام‌به‌گام رسیدن به آن، تا مدل فرآیند را یاد بگیرد و بتواند مسائل جدید حل کند.</div>	domain::ai_agents course::cs329a section::w1_chain_of_thought
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">آیا زنجیره تفکر عمداً طراحی شده بود؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">خیر — یک رفتار نوظهور بود که در مدل‌های بزرگ‌تر کشف شد. مقاله GSM8K (Cobbe و همکاران، ۲۰۲۱) به عنوان «نشانه‌های اولیه حیات» ذکر شد؛ PaLM 540B (Chowdhery و همکاران، ۲۰۲۲) تأیید در مقیاس بزرگ‌تر بود.</div>	domain::ai_agents course::cs329a section::w1_chain_of_thought
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">زنجیره تفکر در آزمایش‌های درس برای کدام مدل‌ها بهره نشان داد؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">در Wei و همکاران ۲۰۲۲ این بهره روی مدل‌های بزرگ‌تر LaMDA / PaLM (تا ۵۴۰ میلیارد) دیده شد. مدل‌های کوچک‌تر در همان آزمایش‌ها روی همان بنچمارک‌ها بهره کم یا صفر داشتند. آستانه «~۷–۸ میلیارد» یک بازنویسی است؛ مقاله اصلی نتایج را در چندین سایز بدون یک برش تکی گزارش می‌کند.</div>	domain::ai_agents course::cs329a section::w1_chain_of_thought
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">پیش‌آموزش (pre-training) چیست؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">آموزش مدل برای پیش‌بینی توکن بعدی روی پیکره عظیم (اینترنت، کتاب‌ها). مدل دانش آماری پیدا می‌کند اما حس درست/غلط یا پیروی از دستور ندارد.</div>	domain::ai_agents course::cs329a section::w1_training_pipeline
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">fine-tuning / alignment چیست؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">fine-tune کردن مدل پایه روی داده‌های باکیفیت‌تر و منتخب برای هدایت به سمت اهداف، ترجیحات و ارزش‌های انسانی. هم‌ترازی هنوز مسئله‌ای حل‌نشده است (روایت درس).</div>	domain::ai_agents course::cs329a section::w1_training_pipeline
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">Instruction tuning چیست؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">آموزش روی جفت‌های (دستور، سؤال ← جواب) تا مدل یاد بگیرد از دستور پیروی کند. داده‌ها ترکیبی از مثال‌های انسانی و مصنوعی هستند (Ouyang و همکاران، ۲۰۲۲ / InstructGPT).</div>	domain::ai_agents course::cs329a section::w1_training_pipeline
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">RLHF چیست؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">یادگیری تقویتی از بازخورد انسانی — ساخت مدل پاداش از رتبه‌بندی ترجیحات انسانی، سپس استفاده از آن برای هدایت پارامترهای LLM به سمت تولیدهایی که مدل پاداش بالا امتیاز می‌دهد.</div>	domain::ai_agents course::cs329a section::w1_training_pipeline
